weeks,ccf,antimicrobial,organism
1,-0.6464106883328489,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,ESCHERICHIA COLI
2,-0.6294478477857748,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,ESCHERICHIA COLI
3,-0.6114336722860785,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,ESCHERICHIA COLI
4,-0.5929641457755689,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,ESCHERICHIA COLI
5,-0.5744452966680346,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,ESCHERICHIA COLI
6,-0.5555708467355844,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,ESCHERICHIA COLI
7,-0.5361857174583122,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,ESCHERICHIA COLI
8,-0.5165458876513843,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,ESCHERICHIA COLI
9,-0.49687836081261827,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,ESCHERICHIA COLI
10,-0.4772115922560108,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,ESCHERICHIA COLI
11,-0.45756971019907033,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,ESCHERICHIA COLI
12,-0.4374590501099058,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,ESCHERICHIA COLI
13,-0.41635387625253367,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,ESCHERICHIA COLI
14,-0.39478109304826875,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,ESCHERICHIA COLI
15,-0.3725356808526074,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,ESCHERICHIA COLI
16,-0.34905231646860874,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,ESCHERICHIA COLI
17,-0.32504951983319136,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,ESCHERICHIA COLI
18,-0.30114528531352436,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,ESCHERICHIA COLI
19,-0.2774504964481558,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,ESCHERICHIA COLI
20,-0.2535698592544529,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,ESCHERICHIA COLI
1,0.19220393638264804,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
2,0.20637186389698836,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
3,0.22214319182879722,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
4,0.2379776408944955,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
5,0.25245740131920935,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
6,0.265659847519301,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
7,0.2781957819796921,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
8,0.2897655761248008,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
9,0.2998219284565408,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
10,0.3072004141010417,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
11,0.3117440463189239,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
12,0.3153243880601389,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
13,0.31916307297884144,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
14,0.32343539065823185,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
15,0.3280859527428364,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
16,0.3333276995309023,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
17,0.3392285965444637,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
18,0.34497193792427033,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
19,0.35016631679061566,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
20,0.35604592395846674,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
1,0.19220393638264804,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
2,0.20637186389698836,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
3,0.22214319182879722,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
4,0.2379776408944955,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
5,0.25245740131920935,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
6,0.265659847519301,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
7,0.2781957819796921,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
8,0.2897655761248008,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
9,0.2998219284565408,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
10,0.3072004141010417,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
11,0.3117440463189239,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
12,0.3153243880601389,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
13,0.31916307297884144,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
14,0.32343539065823185,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
15,0.3280859527428364,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
16,0.3333276995309023,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
17,0.3392285965444637,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
18,0.34497193792427033,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
19,0.35016631679061566,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
20,0.35604592395846674,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
1,0.5389452843749195,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
2,0.522656491880746,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
3,0.5047748151913016,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
4,0.485611336353715,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
5,0.46653394349271216,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
6,0.44720872599378686,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
7,0.42772907279039313,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
8,0.40793687461715966,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
9,0.3881102974013063,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
10,0.3690420306129657,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
11,0.350821613272128,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
12,0.33321656072108996,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
13,0.3160985208739701,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
14,0.2994685580276739,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
15,0.28312203020882126,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
16,0.26838872339271536,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
17,0.25537970571624086,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
18,0.24234877229942783,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
19,0.22907638623804577,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
20,0.21545503142501998,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,STAPHYLOCOCCUS AUREUS
1,0.44955009176764094,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
2,0.4270983063817101,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
3,0.40597424788990305,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
4,0.38566934727821633,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
5,0.36569206584639097,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
6,0.34624110156121146,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
7,0.32730972064230607,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
8,0.3087483434546231,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
9,0.2902790782597965,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
10,0.2716111452271414,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
11,0.25337826744041864,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
12,0.23554377816702118,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
13,0.21798792126878938,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
14,0.2007412103154484,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
15,0.1841094007782132,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
16,0.16886595202029128,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
17,0.15544702226192703,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
18,0.1440020366121255,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
19,0.1346036949515082,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
20,0.1267114621142105,FUSIDIC ACID_FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
1,0.883886640170611,ERYTHROMYCIN_AZITHROMYCIN,STAPHYLOCOCCUS AUREUS
2,0.8702538356086675,ERYTHROMYCIN_AZITHROMYCIN,STAPHYLOCOCCUS AUREUS
3,0.8570533999095062,ERYTHROMYCIN_AZITHROMYCIN,STAPHYLOCOCCUS AUREUS
4,0.8439544859288841,ERYTHROMYCIN_AZITHROMYCIN,STAPHYLOCOCCUS AUREUS
5,0.8304427864747733,ERYTHROMYCIN_AZITHROMYCIN,STAPHYLOCOCCUS AUREUS
6,0.8163325884256396,ERYTHROMYCIN_AZITHROMYCIN,STAPHYLOCOCCUS AUREUS
7,0.8013761153912439,ERYTHROMYCIN_AZITHROMYCIN,STAPHYLOCOCCUS AUREUS
8,0.7852002883924174,ERYTHROMYCIN_AZITHROMYCIN,STAPHYLOCOCCUS AUREUS
9,0.7679557124982664,ERYTHROMYCIN_AZITHROMYCIN,STAPHYLOCOCCUS AUREUS
10,0.7500168763539079,ERYTHROMYCIN_AZITHROMYCIN,STAPHYLOCOCCUS AUREUS
11,0.7312889545832926,ERYTHROMYCIN_AZITHROMYCIN,STAPHYLOCOCCUS AUREUS
12,0.7122321117095571,ERYTHROMYCIN_AZITHROMYCIN,STAPHYLOCOCCUS AUREUS
13,0.6928934417513366,ERYTHROMYCIN_AZITHROMYCIN,STAPHYLOCOCCUS AUREUS
14,0.6727199630164669,ERYTHROMYCIN_AZITHROMYCIN,STAPHYLOCOCCUS AUREUS
15,0.6515404301522838,ERYTHROMYCIN_AZITHROMYCIN,STAPHYLOCOCCUS AUREUS
16,0.6290562728783972,ERYTHROMYCIN_AZITHROMYCIN,STAPHYLOCOCCUS AUREUS
17,0.6052721456319866,ERYTHROMYCIN_AZITHROMYCIN,STAPHYLOCOCCUS AUREUS
18,0.5809451519557705,ERYTHROMYCIN_AZITHROMYCIN,STAPHYLOCOCCUS AUREUS
19,0.5569037721488092,ERYTHROMYCIN_AZITHROMYCIN,STAPHYLOCOCCUS AUREUS
20,0.5336820120085799,ERYTHROMYCIN_AZITHROMYCIN,STAPHYLOCOCCUS AUREUS
1,0.6321942990052185,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
2,0.653190957865128,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
3,0.6740846266379223,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
4,0.6941482556878648,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
5,0.7129021487702946,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
6,0.7300862128611236,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
7,0.7457297263475519,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
8,0.7597597260693405,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
9,0.7722044534450504,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
10,0.7839120618829596,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
11,0.795113495605194,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
12,0.8048912858106868,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
13,0.8133657749751593,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
14,0.8207358455026303,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
15,0.8266378403920552,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
16,0.8316193270161248,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
17,0.8354683513815817,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
18,0.8380169766666965,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
19,0.8396261772523794,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
20,0.8402067278510889,AMOXICILLIN/CLAVUL._AMOXICILLINCLAVULANATE,KLEBSIELLA PNEUMONIAE
1,0.37548319079182696,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
2,0.35881783684306173,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
3,0.3424428794116601,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
4,0.325838177356754,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
5,0.30884305636056186,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
6,0.29119107997150134,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
7,0.2724888210253813,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
8,0.2533824688622327,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
9,0.23380089493418463,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
10,0.21202516695125886,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
11,0.18871484666465246,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
12,0.16566264508618053,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
13,0.14217493774498444,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
14,0.11797444780579189,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
15,0.09390256899927504,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
16,0.0690037253052777,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
17,0.04279084883701428,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
18,0.015969895733239925,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
19,-0.010857250943721386,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
20,-0.036111476890098734,CIPROFLOXACIN_CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
1,0.4082488753629687,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
2,0.42868739803459777,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
3,0.45160663202668866,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
4,0.4779509893596296,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
5,0.5066401912151052,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
6,0.5373216417837007,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
7,0.5701268670166559,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
8,0.6020789594408913,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
9,0.6291324239260664,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
10,0.6487478669381919,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
11,0.6659089271569973,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
12,0.684503880521813,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
13,0.7007238474986558,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
14,0.7156349240878535,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
15,0.7326924468051074,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
16,0.7506996315907498,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
17,0.7666361901110612,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
18,0.7814377961087292,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
19,0.7972261459701657,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
20,0.8106655920547152,CIPROFLOXACIN_CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
1,0.8039302512636614,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
2,0.7762247838963835,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
3,0.7431438047935378,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
4,0.7069304355484869,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
5,0.6690333013782613,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
6,0.6330948316577306,CIPROFLOXACIN_CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
