antimicrobial,count
AMOXICILLINCLAVULANATE,52902
CLOTRIMAZOLE,32750
FUSIDIC ACID,30980
CEFUROXIME,27951
MICONAZOLE,15135
AZITHROMYCIN,14768
METRONIDAZOLE,13010
CIPROFLOXACIN,12897
SODIUM FUSIDATE,11802
LEVOFLOXACIN,11642
CLINDAMYCIN,8576
FENTICONAZOLE,7477
TOBRAMYCIN,6121
MUPIROCIN,5885
AMOXICILLINM,4565
CHLOROQUINE,4425
HYDROXYCHLOROQUINE,4359
FLUCONAZOLE,4289
CLARITHROMYCIN,3975
CEFIXIME,3602
ETHAMBUTOL,3420
DOXYCYCLINEMONOHYDRATE,3411
MOXIFLOXACIN,3302
CEFPROZIL,3259
PYRAZINAMIDE,3026
RIFAMPICIN,2933
ACICLOVIR,2743
GENTAMICIN,2513
TERBINAFINE,2183
OSELTAMIVIR,2169
NYSTATIN,2153
ISONIAZID,1747
VALACICLOVIR,1159
PHENOXYMETHYLPENICILLIN,1098
CEFDITOREN,1030
FOSFOMYCIN,1000
ERTAPENEM,754
LINEZOLID,708
AMOROLFINE,640
SILVER SULFADIAZINE,600
RALTEGRAVIR,539
EMTRICITABINE,534
ITRACONAZOLE,494
ALBENDAZOLE,467
TRIMETHOPRIM,451
FLUCLOXACILLINSODIUM,409
BENZOXONIUM-LIDOCAINE,381
NEOMYCIN,377
ENTECAVIR,365
NITROFURANTOIN,313
ERYTHROMYCIN,252
RITONAVIR,245
ETHIONAMIDE,235
TRIPOT DICITBISMUT,203
VANCOMYCIN,201
VALGANCICLOVIR,189
VORICONAZOLE,168
MEBENDAZOLE,159
GEMIFLOXACIN,136
LOPINAVIRRITONAVIR,133
COLISTIMETHATE,130
MEFLOQUINE,129
TENOFOVIR DISOPROXIL,121
CEFTRIAXONE,119
LAMIVUDINE,115
EFAVIRENZ,102
ATOVAQUONE,101
DARUNAVIRETHANOLATE,91
TINIDAZOLE,69
MEROPENEM,68
PALIVIZUMAB,66
AMIKACIN,62
DAPSONE,40
ATAZANAVIR,32
RIBAVIRIN,31
NORFLOXACIN,28
BENZYLPENICILLIN,28
BENZATHINE,27
TETRACYCLINE,25
PIPERACILLINTAZOBACTAM,24
QUININE,20
MINOCYCLINE,18
CEFACLOR,12
CEFTAZIDIME,11
CASPOFUNGIN,7
CHLORAMPHENICOL,6
PRAZIQUANTEL,6
TIGECYCLINE,5
ANIDULAFUNGIN,4
GANCICLOVIRSODIUM,3
CEFAZOLIN,2
ADEFOVIR,1
AMPHOTERICIN,1
CEFADROXIL,1
CEFEPIME,1
PILOCARPINENITRATE,0
