"","AMOXICILLINCLAVULANATE","AMOXICILLINM","AZITHROMYCIN","CEFIXIME","CEFPROZIL","CEFUROXIME","CHLOROQUINE","CIPROFLOXACIN","CLARITHROMYCIN","CLINDAMYCIN","CLOTRIMAZOLE","ETHAMBUTOL","FLUCONAZOLE","FUSIDIC ACID","HYDROXYCHLOROQUINE","LEVOFLOXACIN","METRONIDAZOLE","MICONAZOLE","MUPIROCIN","PYRAZINAMIDE","RIFAMPICIN","TOBRAMYCIN"
"Jan",0.428571428571429,0.111111111111111,0.397435897435897,0.285714285714286,0,0.198347107438017,0.0520446096654275,0.506024096385542,0.166666666666667,0.392857142857143,1,0.222222222222222,0.282608695652174,0.739130434782609,0.0827586206896552,0.630208333333333,0.292307692307692,0.627118644067797,0.0784313725490196,0,1,0.407407407407407
"Feb",0,0,0.320512820512821,0.285714285714286,0,0,0.070631970260223,0,0,0.142857142857143,0,0.277777777777778,0.130434782608696,0.543478260869565,0.110344827586207,0.458333333333333,0,0.186440677966102,0.0392156862745098,0.439024390243902,0.677966101694915,0.185185185185185
"Mar",0,0.259259259259259,0.33974358974359,0,0.285714285714286,0.31404958677686,0.152416356877323,0.337349397590361,0.666666666666667,0.25,0.555555555555556,0.611111111111111,0.195652173913043,0.282608695652174,0,0.34375,0.246153846153846,0,0,0.682926829268293,0.76271186440678,0
"Apr",0.516483516483517,0.185185185185185,1,0.428571428571429,1,0.661157024793388,1,0.530120481927711,0.0833333333333333,0.571428571428571,0.814814814814815,0.833333333333333,0.41304347826087,0.956521739130435,0.324137931034483,1,0.661538461538462,0.677966101694915,0.411764705882353,0.926829268292683,0.813559322033898,0.407407407407407
"May",1,1,0.5,0.785714285714286,0.285714285714286,1,0.66914498141264,0.891566265060241,0.0833333333333333,1,0.944444444444444,0.138888888888889,0.826086956521739,1,1,0.760416666666667,1,1,0.176470588235294,0.317073170731707,0.694915254237288,0.62962962962963
"Jun",0.978021978021978,0.222222222222222,0.230769230769231,0,0,0.793388429752066,0.137546468401487,1,0.583333333333333,0.25,1,0.861111111111111,0.282608695652174,0.695652173913043,0.23448275862069,0.484375,0.688461538461538,0.203389830508475,0,1,0.559322033898305,0.407407407407407
"Jul",0.494505494505495,0.37037037037037,0,0.5,0.428571428571429,0.84297520661157,0.100371747211896,0.843373493975904,0.333333333333333,0.75,0.722222222222222,0.805555555555556,1,0.391304347826087,0.179310344827586,0.15625,0.484615384615385,0.559322033898305,0.196078431372549,0.707317073170732,0.271186440677966,0.37037037037037
"Aug",0.681318681318681,0.740740740740741,0.0512820512820513,0.357142857142857,0.285714285714286,0.933884297520661,0.0520446096654275,0.674698795180723,0.25,0.392857142857143,0.722222222222222,0.444444444444444,0.456521739130435,0.130434782608696,0.0896551724137931,0.265625,0.611538461538462,0.576271186440678,0.372549019607843,0.585365853658537,0,0.592592592592593
"Sep",0.736263736263736,0.703703703703704,0.224358974358974,1,0.571428571428571,0.628099173553719,0.185873605947955,0.91566265060241,1,0.392857142857143,0.5,1,0.152173913043478,0,0.337931034482759,0.0833333333333333,0.680769230769231,0.372881355932203,1,0.951219512195122,0.101694915254237,0.37037037037037
"Oct",0.571428571428571,0.592592592592593,0.269230769230769,0.285714285714286,0.714285714285714,0.68595041322314,0.178438661710037,0.385542168674699,0.333333333333333,0.785714285714286,0.814814814814815,0.333333333333333,0,0.543478260869565,0.324137931034483,0,0.480769230769231,0.64406779661017,0.549019607843137,0.536585365853659,0.305084745762712,1
"Nov",0.483516483516484,0.444444444444444,0.532051282051282,0.0714285714285714,0.142857142857143,0.528925619834711,0.152416356877323,0.734939759036145,0,0.464285714285714,0.481481481481481,0,0.152173913043478,0.456521739130435,0.275862068965517,0.130208333333333,0.507692307692308,0.474576271186441,0.294117647058824,0.0975609756097561,0.661016949152542,0.666666666666667
"Dec",0.428571428571429,0.851851851851852,0.455128205128205,0.0714285714285714,0,0.710743801652893,0,0.662650602409639,0.666666666666667,0,0.203703703703704,0,0.152173913043478,0.130434782608696,0,0.364583333333333,0.446153846153846,0.372881355932203,0.0784313725490196,0.146341463414634,0.88135593220339,0.555555555555556
