Oragnism,UpdatedOrganismName,Group,Frequency
ESCHERICHIA COLI,ESCHERICHIA COLI,GramNegative,297213
(ESBL POSITIVE) ESCHERICHIA COLI,(ESBL POSITIVE) ESCHERICHIA COLI,GramNegative,251588
STAPHYLOCOCCUS AUREUS,STAPHYLOCOCCUS AUREUS,GramPositive,
KLEBSIELLA PNEUMONIAE,KLEBSIELLA PNEUMONIAE,GramNegative,155739
PSEUDOMONAS AERUGINOSA,PSEUDOMONAS AERUGINOSA,GramNegative,135328
METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS,GramPositive,93210
STREPTOCOCCI  BETA HEMOLYTIC GROUP B,STREPTOCOCCI  BETA HEMOLYTIC GROUP B,GramPositive,82267
(ESBL POSITIVE) KLEBSIELLA PNEUMONIAE,(ESBL POSITIVE) KLEBSIELLA PNEUMONIAE,GramNegative,81736
ENTEROCOCCUS FAECALIS,ENTEROCOCCUS FAECALIS,GramPositive,66088
(CARBAPENEMS RESISTANT) PSEUDOMONAS AERUGINOSA,(CARBAPENEMS RESISTANT) PSEUDOMONAS AERUGINOSA,GramNegative,51297
STAPHYLOCOCCUS EPIDERMIDIS,STAPHYLOCOCCUS EPIDERMIDIS,GramPositive,49234
PROTEUS MIRABILIS,ENTEROBACTERIAECAE (EXCEPT E COLI & KLEB PNEU),GramNegative,39532
(CARBAPENAMASE PRODUCER) KLEBSIELLA PNEUMONIAE,(CARBAPENAMASE PRODUCER) KLEBSIELLA PNEUMONIAE,GramNegative,34611
SERRATIA MARCESCENS,ENTEROBACTERIAECAE (EXCEPT E COLI & KLEB PNEU),GramNegative,23108
ENTEROCOCCUS FAECIUM,ENTEROCOCCUS FAECIUM,GramPositive,19395
CITROBACTER KOSERI,ENTEROBACTERIAECAE (EXCEPT E COLI & KLEB PNEU),GramNegative,18845
STAPHYLOCOCCUS CAPITIS,COAGULASE NEGATIVE STAPHYLOCOCCUS,GramPositive,15595
CARBAPENEM RESISTANT K.PNEUMONIAE,CARBAPENEM RESISTANT K.PNEUMONIAE,GramNegative,12391
Enterobacter cloacae complex,ENTEROBACTERIAECAE (EXCEPT E COLI & KLEB PNEU),GramNegative,12360
MYCOBACTERIUM TUBERCULOSIS COMPLEX,MYCOBACTERIUM TUBERCULOSIS COMPLEX,GramPositive,11060
STAPHYLOCOCCUS HOMINIS SSP HOMINIS,COAGULASE NEGATIVE STAPHYLOCOCCUS,GramPositive,9856
(CARBAPENAMASE PRODUCER) ESCHERICHIA COLI,(CARBAPENAMASE PRODUCER) ESCHERICHIA COLI,GramNegative,9845
STAPHYLOCOCCUS SAPROPHYTICUS,COAGULASE NEGATIVE STAPHYLOCOCCUS,GramPositive,9697
STREPTOCOCCUS PNEUMONIAE,STREPTOCOCCUS PNEUMONIAE,GramPositive,9359
ACINETOBACTER BAUMANNII COMPLEX,ACINETOBACTER SPECIES,GramNegative,8630
STAPHYLOCOCCUS HAEMOLYTICUS,COAGULASE NEGATIVE STAPHYLOCOCCUS,GramPositive,8596
Ampc producer Enterobacter cloacae,CHROMOSOMAL AMPC POSITIVE  ENTEROBACTERIAECAE (EXCEPT E COLI & KLEB PNEU) E COLI & KLEB PNEU),GramNegative,8044
STREPTOCOCCUS PYOGENES,STREPTOCOCCUS PYOGENES,GramPositive,7672
HAEMOPHILUS INFLUENZAE,NOI,NOI,7542
ACINETOBACTER BAUMANNII,ACINETOBACTER SPECIES,GramNegative,7530
(AMPC PRODUCER) ESCHERICHIA COLI,NOI,NOI,7340
Enterobacter aerogenes,ENTEROBACTERIAECAE (EXCEPT E COLI & KLEB PNEU),GramNegative,6771
ENTEROBACTER CLOACAE,ENTEROBACTERIAECAE (EXCEPT E COLI & KLEB PNEU),GramNegative,6078
CHROMOSOMAL AMP C POSITIVE,NOI,NOI,5575
Ampc producer Klebsiella aerogenes,CHROMOSOMAL AMPC POSITIVE  ENTEROBACTERIAECAE (EXCEPT E COLI & KLEB PNEU) E COLI & KLEB PNEU),GramNegative,5553
MORGANELLA MORGANII SSP MORGANII,ENTEROBACTERIAECAE (EXCEPT E COLI & KLEB PNEU),GramNegative,5372
STENOTROPHOMONAS MALTOPHILIA (PREVIOUSLY PSEUDOMONAS MALTOPHILIA ),NOI,NOI,5121
KLEBSIELLA OXYTOCA,ENTEROBACTERIAECAE (EXCEPT E COLI & KLEB PNEU),GramNegative,5079
Klebsiella aerogenes,ENTEROBACTERIAECAE (EXCEPT E COLI & KLEB PNEU),GramNegative,4901
SALMONELLA GROUP D,ENTEROBACTERIAECAE (EXCEPT E COLI & KLEB PNEU),GramNegative,4513
SALMONELLA SPECIES,ENTEROBACTERIAECAE (EXCEPT E COLI & KLEB PNEU),GramNegative,4472
CANDIDA ALBICANS,CANDIDA SPECIES,GramPositive,4397
STAPHYLOCOCCUS LUGDUNENSIS,COAGULASE NEGATIVE STAPHYLOCOCCUS,GramPositive,4199
STAPHYLOCOCCUS HOMINIS,COAGULASE NEGATIVE STAPHYLOCOCCUS,GramPositive,4195
