Estimate,upper,lower,Antimicrobial,Organism
0.291032095442669,0.223089429727809,0.358974761157529,AMPICILLIN,ESCHERICHIA COLI
0.562202354790737,0.397799914108174,0.7266047954733,Piperacillin/Tazobactam,ESCHERICHIA COLI
0.261402594517566,-0.0549553801903422,0.577760569225474,ERTAPENEM,ESCHERICHIA COLI
0.254301015083221,0.189364223227705,0.319237806938737,CIPROFLOXACIN,ESCHERICHIA COLI
0.166698388617049,-0.129587040140958,0.462983817375056,MEROPENEM,ESCHERICHIA COLI
0.415799937006341,0.281727446427314,0.549872427585368,Cefuroxime,ESCHERICHIA COLI
0.375570769015702,0.243520459693874,0.507621078337529,NITROFURANTOIN,ESCHERICHIA COLI
0.400026747151997,0.308188742878825,0.49186475142517,AMOXICILLIN/CLAVUL.,ESCHERICHIA COLI
0.276793248960725,0.212701353689517,0.340885144231932,Cotrimoxazole,ESCHERICHIA COLI
0.0462632897106399,-0.0759960105080199,0.1685225899293,GENTAMICIN,ESCHERICHIA COLI
-0.394176412834729,-1.08998030288434,0.301627477214884,TEICOPLANIN,STAPHYLOCOCCUS AUREUS
-0.459018278597174,-0.554631356663523,-0.363405200530825,FUSIDIC ACID,STAPHYLOCOCCUS AUREUS
0.0647928549516956,-0.0231655560718116,0.152751265975203,ERYTHROMYCIN,STAPHYLOCOCCUS AUREUS
0.997648637006843,0.546161604294723,1.44913566971896,AMOXICILLIN/CLAVUL.,STAPHYLOCOCCUS AUREUS
0.200424850402637,0.0909042165594843,0.309945484245789,CLINDAMYCIN,STAPHYLOCOCCUS AUREUS
-0.39135821691749,-0.689792185896023,-0.0929242479389581,GENTAMICIN,STAPHYLOCOCCUS AUREUS
-0.199513065508367,-0.305885055372064,-0.093141075644671,Cotrimoxazole,STAPHYLOCOCCUS AUREUS
0.476485120276906,0.00478048359106426,0.948189756962748,Cefuroxime,STAPHYLOCOCCUS AUREUS
0.265993642134577,0.164985777925234,0.36700150634392,CEFTAZIDIME,KLEBSIELLA PNEUMONIAE
0.309004371878697,0.195841639161636,0.422167104595757,ERTAPENEM,KLEBSIELLA PNEUMONIAE
0.22062998782544,0.136869391650965,0.304390583999915,CIPROFLOXACIN,KLEBSIELLA PNEUMONIAE
0.265370642522757,0.165748239985822,0.364993045059692,Piperacillin/Tazobactam,KLEBSIELLA PNEUMONIAE
0.293465225568265,0.180211811078559,0.406718640057972,MEROPENEM,KLEBSIELLA PNEUMONIAE
0.0141279159338132,-0.0505800493795888,0.0788358812472152,NITROFURANTOIN,KLEBSIELLA PNEUMONIAE
0.336134798513619,0.244762600204584,0.427506996822654,AMOXICILLIN/CLAVUL.,KLEBSIELLA PNEUMONIAE
0.234995619392454,0.158645903608086,0.311345335176821,Cotrimoxazole,KLEBSIELLA PNEUMONIAE
0.382858734527059,0.283188798635286,0.482528670418831,GENTAMICIN,KLEBSIELLA PNEUMONIAE
-0.264915572705102,-0.482020024648702,-0.0478111207615026,CEFOTAXIME,PSEUDOMONAS AERUGINOSA
-0.0524791556360283,-0.134966527127081,0.0300082158550247,NORFLOXACIN,PSEUDOMONAS AERUGINOSA
0.291920618179976,0.22473657760954,0.359104658750412,IMIPENEM,PSEUDOMONAS AERUGINOSA
-0.0362034056033707,-0.128636609255971,0.0562297980492292,CEFEPIME,PSEUDOMONAS AERUGINOSA
-0.141132996722556,-0.20842561386419,-0.0738403795809232,CIPROFLOXACIN,PSEUDOMONAS AERUGINOSA
0.31160591316012,0.206881829260517,0.416329997059723,MEROPENEM,PSEUDOMONAS AERUGINOSA
0.152556450914004,-0.0172719862938049,0.322384888121813,AMIKACIN,PSEUDOMONAS AERUGINOSA
-0.113463365848615,-0.188318571101892,-0.0386081605953394,Piperacillin/Tazobactam,PSEUDOMONAS AERUGINOSA
-0.126489229740263,-0.198903264371618,-0.0540751951089093,CEFTAZIDIME,PSEUDOMONAS AERUGINOSA
0.0989460795525092,-0.037712692966557,0.235604852071575,GENTAMICIN,PSEUDOMONAS AERUGINOSA
-0.117569151396441,-0.231946823606246,-0.00319147918663656,CIPROFLOXACIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
-0.0734620054377167,-0.183076831995953,0.03615282112052,FUSIDIC ACID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
0.0768561131656491,-0.0332402933373722,0.18695251966867,ERYTHROMYCIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
-0.327684518574302,-0.455754936977958,-0.19961410017064601,GENTAMICIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
-0.0832661391211777,-0.203064038776266,0.0365317605339102,Cotrimoxazole,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
-0.153176238807975,-0.234002937413852,-0.0723495402020972,CLINDAMYCIN,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
2.4985454949976,1.52411315365678,3.47297783633842,LINEZOLID,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS
-0.236905098505975,-0.923462268562995,0.449652071551045,TETRACYCLINE,STREPTOCOCCI  BETA HEMOLYTIC GROUP B
