oragnism,Frequency
ESCHERICHIA COLI,297213
(ESBL POSITIVE) ESCHERICHIA COLI,251588
STAPHYLOCOCCUS AUREUS,174936
KLEBSIELLA PNEUMONIAE,155739
PSEUDOMONAS AERUGINOSA,135328
METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS,93210
STREPTOCOCCI  BETA HEMOLYTIC GROUP B,82267
(ESBL POSITIVE) KLEBSIELLA PNEUMONIAE,81736
ENTEROCOCCUS FAECALIS,66088
(CARBAPENEMS RESISTANT) PSEUDOMONAS AERUGINOSA,51297
STAPHYLOCOCCUS EPIDERMIDIS,49234
PROTEUS MIRABILIS,39532
(CARBAPENAMASE PRODUCER) KLEBSIELLA PNEUMONIAE,34611
SERRATIA MARCESCENS,23108
ENTEROCOCCUS FAECIUM,19395
CITROBACTER KOSERI,18845
STAPHYLOCOCCUS CAPITIS,15595
CARBAPENEM RESISTANT K.PNEUMONIAE,12391
Enterobacter cloacae complex,12360
MYCOBACTERIUM TUBERCULOSIS COMPLEX,11060
STAPHYLOCOCCUS HOMINIS SSP HOMINIS,9856
(CARBAPENAMASE PRODUCER) ESCHERICHIA COLI,9845
STAPHYLOCOCCUS SAPROPHYTICUS,9697
STREPTOCOCCUS PNEUMONIAE,9359
ACINETOBACTER BAUMANNII COMPLEX,8630
STAPHYLOCOCCUS HAEMOLYTICUS,8596
Ampc producer Enterobacter cloacae,8044
STREPTOCOCCUS PYOGENES,7672
HAEMOPHILUS INFLUENZAE,7542
ACINETOBACTER BAUMANNII,7530
(AMPC PRODUCER) ESCHERICHIA COLI,7340
Enterobacter aerogenes,6771
ENTEROBACTER CLOACAE,6078
CHROMOSOMAL AMP C POSITIVE,5575
Ampc producer Klebsiella aerogenes,5553
MORGANELLA MORGANII SSP MORGANII,5372
STENOTROPHOMONAS MALTOPHILIA (PREVIOUSLY PSEUDOMONAS MALTOPHILIA ),5121
KLEBSIELLA OXYTOCA,5079
Klebsiella aerogenes,4901
SALMONELLA GROUP D,4513
SALMONELLA SPECIES,4472
CANDIDA ALBICANS,4397
STAPHYLOCOCCUS LUGDUNENSIS,4199
