weeks,ccf,antimicrobial,organism
1,0.09053372049177223,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
2,0.11311152285720508,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
3,0.13244599617798,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
4,0.15213315821890663,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
5,0.17201788563702092,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
6,0.19015638570857013,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
7,0.20606685269601893,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
8,0.2204046658349714,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
9,0.2350334078377801,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
10,0.25066035714016716,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
11,0.2662799258874673,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
12,0.2822330163652177,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
13,0.2985286524143088,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
14,0.31614253517672375,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
15,0.3355654125889168,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
16,0.35418095146113354,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
17,0.36976914000858285,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
18,0.3822481106091747,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
19,NA,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
20,NA,CIPROFLOXACIN_CIPROFLOXACIN,ESCHERICHIA COLI
1,-0.8559272925694713,Cefuroxime_CEFUROXIME,ESCHERICHIA COLI
2,-0.8277349975596491,Cefuroxime_CEFUROXIME,ESCHERICHIA COLI
3,-0.7995376207803866,Cefuroxime_CEFUROXIME,ESCHERICHIA COLI
4,-0.771426530739527,Cefuroxime_CEFUROXIME,ESCHERICHIA COLI
5,-0.7430217306689648,Cefuroxime_CEFUROXIME,ESCHERICHIA COLI
6,-0.7139192031636677,Cefuroxime_CEFUROXIME,ESCHERICHIA COLI
7,-0.6846020651140814,Cefuroxime_CEFUROXIME,ESCHERICHIA COLI
8,-0.6553762417770587,Cefuroxime_CEFUROXIME,ESCHERICHIA COLI
9,-0.6262560091063966,Cefuroxime_CEFUROXIME,ESCHERICHIA COLI
10,-0.5974494030173476,Cefuroxime_CEFUROXIME,ESCHERICHIA COLI
11,-0.5687307867835896,Cefuroxime_CEFUROXIME,ESCHERICHIA COLI
12,-0.5398893888790507,Cefuroxime_CEFUROXIME,ESCHERICHIA COLI
13,-0.511360549864736,Cefuroxime_CEFUROXIME,ESCHERICHIA COLI
14,-0.4836411312051394,Cefuroxime_CEFUROXIME,ESCHERICHIA COLI
15,-0.4564686395020089,Cefuroxime_CEFUROXIME,ESCHERICHIA COLI
16,-0.43001438489221067,Cefuroxime_CEFUROXIME,ESCHERICHIA COLI
17,-0.4041570871969143,Cefuroxime_CEFUROXIME,ESCHERICHIA COLI
18,-0.3785620784090442,Cefuroxime_CEFUROXIME,ESCHERICHIA COLI
19,NA,Cefuroxime_CEFUROXIME,ESCHERICHIA COLI
20,NA,Cefuroxime_CEFUROXIME,ESCHERICHIA COLI
1,0.4496500476688938,ERYTHROMYCIN_AZITHROMYCIN,STAPHYLOCOCCUS AUREUS
2,0.45665224357995576,ERYTHROMYCIN_AZITHROMYCIN,STAPHYLOCOCCUS AUREUS
3,0.4639658677558151,ERYTHROMYCIN_AZITHROMYCIN,STAPHYLOCOCCUS AUREUS
4,0.47192226618107336,ERYTHROMYCIN_AZITHROMYCIN,STAPHYLOCOCCUS AUREUS
5,0.4805231642480357,ERYTHROMYCIN_AZITHROMYCIN,STAPHYLOCOCCUS AUREUS
6,0.4894950914317964,ERYTHROMYCIN_AZITHROMYCIN,STAPHYLOCOCCUS AUREUS
7,0.49888178657249216,ERYTHROMYCIN_AZITHROMYCIN,STAPHYLOCOCCUS AUREUS
